Student,LPIPS,SSIM
112590022.png,0.0,1.0
112590014.png,0.252114862203598,0.6426219143279436
112590057.png,0.27626147866249084,0.5341261103962655
112590030.png,0.2805483043193817,0.5433497036867052
112590004.png,0.2864534556865692,0.6341099653068635
111332012.png,0.3035968840122223,0.50025839371655
112590044.png,0.3090740144252777,0.6236985046740249
110590456.png,0.3115670382976532,0.6013147027743746
112590017.png,0.3151770234107971,0.5811507037632059
112590007.png,0.3189375400543213,0.594701575210413
112590003.png,0.32759615778923035,0.6130259929382893
112590026.png,0.329935759305954,0.6357951214743937
112590023.png,0.340892493724823,0.6320454126212576
112590060.png,0.34810495376586914,0.5904285835922747
112590035.png,0.3533337712287903,0.5678417375182548
113378043.png,0.3593387007713318,0.5594194432296816
112590021.png,0.36708369851112366,0.49447754267919125
112590009.png,0.36859798431396484,0.5158904826742551
112590036.png,0.37012845277786255,0.5996143290016666
112590020.png,0.3738552927970886,0.5884177082689781
112590041.png,0.39111918210983276,0.5703763873833151
112590038.png,0.3938252329826355,0.5482273545223052
112590012.png,0.40706512331962585,0.606361949116735
112590029.png,0.4137434661388397,0.5875437489458862
112590013.png,0.41953301429748535,0.6032568639441718
112590005.png,0.42353424429893494,0.47657848924192203
111820017.jpg,0.42821139097213745,0.5338929470269359
112590051.png,0.4407617151737213,0.40691780468716415
112590031.png,0.44764575362205505,0.42663572196763583
112590025.png,0.44899794459342957,0.49446961969104236
112590052.png,0.4508303701877594,0.41804897201048846
112590033.png,0.4606683552265167,0.5444928587683121
110820009.png,0.4785003364086151,0.46654715634122806
112590024.png,0.5253540277481079,0.3629838483185695
112590018.png,0.5286182165145874,0.38905537708155835
112590053.png,0.5293786525726318,0.39946998979542947
